NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2721100001201,白川公民館,大阪府茨木市鮎川1-8-17,1,,,1,,1,1,,1,34.816489551118,135.59345327513,
2,E2721100002201,東小学校,大阪府茨木市鮎川2-5-23,1,,,1,,1,1,,1,34.820494292236,135.59047216587,
3,E2721100003201,安威小学校,大阪府茨木市安威2-21-23,1,,,1,,1,1,,1,34.84946717262,135.56411505434,
4,E2721100004201,市民総合センター（クリエイトセンター）,大阪府茨木市駅前4-6-16,,,,1,,1,1,,1,34.818781168712,135.56837405225,
5,E2721100005201,養精中学校,大阪府茨木市駅前4-7-60,,,,1,,1,1,,1,34.817849166238,135.56801451469,
6,E2721100006201,穂積小学校,大阪府茨木市下穂積2-6-62,1,,,1,,1,1,,1,34.810312931738,135.55494385381,
7,E2721100007201,太田小学校,大阪府茨木市花園1-21-26,,,,1,,1,1,,1,34.846506813569,135.57413624494,
8,E2721100008201,太田中学校,大阪府茨木市花園1-6-10,,,,1,,1,1,,1,34.843691073558,135.57189504711,
9,E2721100009201,東市民体育館,大阪府茨木市学園町4-18,1,,,1,,1,1,,1,34.818298964612,135.59118074102,
10,E2721100010201,東雲中学校,大阪府茨木市学園南町21-7,1,,,1,,1,1,,1,34.813274324057,135.59089193865,
11,E2721100011201,玉島小学校,大阪府茨木市玉島2-11-23,1,,,1,,1,1,,1,34.800334841775,135.58846244684,
12,E2721100012201,北摂つばさ高等学校,大阪府茨木市玉島台2-15,1,,,1,,1,1,,1,34.800494843609,135.58430917209,
13,E2721100013201,高齢者活動支援センターシニアプラザいばらき,大阪府茨木市桑田町24-21,,,,1,,1,1,,1,34.810534285598,135.586215,
14,E2721100014201,郡小学校,大阪府茨木市郡5-26-23,1,,,1,,1,1,,1,34.834450209995,135.5521321504,
15,E2721100015201,西中学校,大阪府茨木市見付山2-5-4,,,,1,,1,1,,1,34.820549609183,135.55355347649,
16,E2721100016201,男女共生センターローズＷＡＭ,大阪府茨木市元町4-7,1,,,1,,1,1,,1,34.81711116,135.5706853,
17,E2721100018201,彩都西中学校,大阪府茨木市彩都あさぎ4-6-7,,,,1,,1,1,,1,34.849076,135.52854,
18,E2721100019201,彩都西小学校,大阪府茨木市彩都あさぎ5-8-1,,1,,1,,1,1,,1,34.851867441406,135.52812402737,
19,E2721100020201,三島小学校,大阪府茨木市三島町3-13,1,,,1,,1,1,,1,34.831183291617,135.57783110655,
